true_x,true_y,meas_x,meas_y,kalman_x,kalman_y
1.700000000000000400e+00,8.500000000000001998e-01,2.007989711287748058e+00,1.414486146360446117e+00,1.992546161193637255e+00,8.589124643740857490e-01
1.800000000000000488e+00,9.000000000000002442e-01,1.743026271172563035e+00,4.799217615187362229e-01,2.039838502159120104e+00,8.371488833593573320e-01
1.900000000000000577e+00,9.500000000000002887e-01,1.487759392154380800e+00,1.275296393912350723e+00,2.031036761924026823e+00,9.602213048602251666e-01
2.000000000000000444e+00,1.000000000000000222e+00,2.371627085601721419e+00,1.271577134152597655e+00,2.173548322461728244e+00,1.063047526623115635e+00
2.100000000000000533e+00,1.050000000000000266e+00,1.767245146355653329e+00,1.166080661533360097e+00,2.192912604276810118e+00,1.132263813482400794e+00
2.200000000000000622e+00,1.100000000000000311e+00,2.258342904570364684e+00,1.209344298364506853e+00,2.285902509066007227e+00,1.197476001738869922e+00
2.300000000000000711e+00,1.150000000000000355e+00,2.735714388974095801e+00,1.261797774387341420e+00,2.438164233565170314e+00,1.260766543192284317e+00
2.400000000000000799e+00,1.200000000000000400e+00,2.739456781535948071e+00,1.233789534744446081e+00,2.569422464310203935e+00,1.310429994601634895e+00
2.500000000000000888e+00,1.250000000000000444e+00,2.644559699344993131e+00,1.565644112919270636e+00,2.668640521095520413e+00,1.400578278391188647e+00
2.600000000000000977e+00,1.300000000000000488e+00,1.871422090072167865e+00,1.140164391821349765e+00,2.645642141638652411e+00,1.419126469068916041e+00
2.700000000000001066e+00,1.350000000000000533e+00,2.464813672853603421e+00,1.030561075878329458e+00,2.703722551814562003e+00,1.419311623447061299e+00
2.800000000000001155e+00,1.400000000000000577e+00,2.662428874386659317e+00,2.147470655617198521e+00,2.779426861820602390e+00,1.565582941440012421e+00
2.900000000000001243e+00,1.450000000000000622e+00,2.467084442153379520e+00,1.934139177295741030e+00,2.819961539610031043e+00,1.667562358270826772e+00
3.000000000000001332e+00,1.500000000000000666e+00,2.158565114192098733e+00,1.332557485007113129e+00,2.815752560550548012e+00,1.682421278397259190e+00
3.100000000000001421e+00,1.550000000000000711e+00,3.181376532552504077e+00,1.843111165679639729e+00,2.934713151335457404e+00,1.756627974757664967e+00
3.200000000000001510e+00,1.600000000000000755e+00,3.555613289896428775e+00,1.996673617599963313e+00,3.084795730657403201e+00,1.840538995250194265e+00
3.300000000000001599e+00,1.650000000000000799e+00,3.125637463875782895e+00,1.418824103667717162e+00,3.168833077150283728e+00,1.847962974674894454e+00
3.400000000000001688e+00,1.700000000000000844e+00,3.828987940628578723e+00,1.604347837559193302e+00,3.323200983348128634e+00,1.874376842936041898e+00
3.500000000000001776e+00,1.750000000000000888e+00,2.862156838331040731e+00,1.183356392998260453e+00,3.354129746280900104e+00,1.850141868281000468e+00
3.600000000000001865e+00,1.800000000000000933e+00,3.140273856999196145e+00,2.048580372026882923e+00,3.410615974187605648e+00,1.921115899836017826e+00
3.700000000000001954e+00,1.850000000000000977e+00,3.771212868035284771e+00,2.195242677033885315e+00,3.527899928452777889e+00,2.000580007001886429e+00
3.800000000000002043e+00,1.900000000000001021e+00,3.586373676831734691e+00,1.979269845538358163e+00,3.614076042055375915e+00,2.049497247865304406e+00
3.900000000000002132e+00,1.950000000000001066e+00,4.212795196983670110e+00,1.795326730139881866e+00,3.756133518634770407e+00,2.074085119896454277e+00
4.000000000000001776e+00,2.000000000000000888e+00,4.228387618778707946e+00,1.669037029466675204e+00,3.886653453833120331e+00,2.082459607743754937e+00
4.100000000000001421e+00,2.050000000000000711e+00,3.918473076717465364e+00,1.859131053000836253e+00,3.973948023085846160e+00,2.107853064198939919e+00
4.200000000000001066e+00,2.100000000000000533e+00,3.602080177205481348e+00,2.343486240392791409e+00,4.021079922212210001e+00,2.177967752485626463e+00
4.300000000000000711e+00,2.150000000000000355e+00,4.065298829898638999e+00,2.156247059363844087e+00,4.107625820833925800e+00,2.223419500069165888e+00
4.400000000000000355e+00,2.200000000000000178e+00,4.640373329452954998e+00,2.423265588014972050e+00,4.241235825241497892e+00,2.290069249292181031e+00
4.500000000000000000e+00,2.250000000000000000e+00,4.832692554486393455e+00,2.200757257745288076e+00,4.381692051799306320e+00,2.329514198820659576e+00
